country_code,country_name,iso_alpha3,region_code,apple_fiscal_segment,currency_code,tax_code,primary_language,timezone,ecommerce_supported,retail_store_supported,market_tier,population_millions,gdp_usd_billions,gdpr_applicable,is_active,effective_start_date,effective_end_date,created_at,source_system
IE,Ireland,IRL,EMEA,Europe,EUR,IE_VAT_STD,English,Europe/Dublin,Y,Y,Tier2,5,545,Y,Y,2004-06-15,9999-12-31,2026-04-17 12:57:10.007924,MDM_CORE
AT,Austria,AUT,EMEA,Europe,EUR,AT_VAT_STD,German,Europe/Vienna,Y,Y,Tier2,9,472,Y,Y,2004-06-15,9999-12-31,2026-04-17 12:57:10.007925,MDM_CORE
IT,Italy,ITA,EMEA,Europe,EUR,IT_VAT_STD,Italian,Europe/Rome,Y,Y,Tier1,60,2170,Y,Y,2004-10-26,9999-12-31,2026-04-17 12:57:10.007927,MDM_CORE
CA,Canada,CAN,AMER,Americas,CAD,CA_GST_STD,English,America/Toronto,Y,Y,Tier1,40,2140,N,Y,2004-12-02,9999-12-31,2026-04-17 12:57:10.007928,MDM_CORE
NZ,New Zealand,NZL,APAC,Rest of Asia Pacific,NZD,NZ_GST_STD,English,Pacific/Auckland,Y,N,Tier2,5,249,N,Y,2006-10-14,9999-12-31,2026-04-17 12:57:10.007929,MDM_CORE
AU,Australia,AUS,APAC,Rest of Asia Pacific,AUD,AU_GST_STD,English,Australia/Sydney,Y,Y,Tier1,26,1693,N,Y,2005-10-24,9999-12-31,2026-04-17 12:57:10.007931,MDM_CORE
ES,Spain,ESP,EMEA,Europe,EUR,ES_VAT_STD,Spanish,Europe/Madrid,Y,Y,Tier1,48,1580,Y,Y,2008-01-15,9999-12-31,2026-04-17 12:57:10.007932,MDM_CORE
CN,China,CHN,GREATER_CHINA,Greater China,CNY,CN_VAT_STD,Chinese,Asia/Shanghai,Y,Y,Tier1,1412,17700,N,Y,2008-09-07,9999-12-31,2026-04-17 12:57:10.007933,MDM_CORE
HK,Hong Kong,HKG,GREATER_CHINA,Greater China,HKD,HK_NO_TAX,Chinese,Asia/Hong_Kong,Y,Y,Tier2,7,368,N,Y,2008-09-09,9999-12-31,2026-04-17 12:57:10.007935,MDM_CORE
IN,India,IND,APAC,Rest of Asia Pacific,INR,IN_GST_STD,Hindi,Asia/Kolkata,Y,Y,Tier1,1428,3730,N,Y,2008-08-22,9999-12-31,2026-04-17 12:57:10.007936,MDM_CORE
TW,Taiwan,TWN,GREATER_CHINA,Greater China,TWD,TW_VAT_STD,Chinese,Asia/Taipei,Y,Y,Tier2,24,791,N,Y,2008-10-30,9999-12-31,2026-04-17 12:57:10.007937,MDM_CORE
KR,South Korea,KOR,APAC,Rest of Asia Pacific,KRW,KR_VAT_STD,Korean,Asia/Seoul,Y,Y,Tier1,52,1709,N,Y,2009-11-28,9999-12-31,2026-04-17 12:57:10.007939,MDM_CORE
MX,Mexico,MEX,AMER,Americas,MXN,MX_IVA_STD,Spanish,America/Mexico_City,Y,Y,Tier2,130,1320,N,Y,2009-05-12,9999-12-31,2026-04-17 12:57:10.007940,MDM_CORE
PL,Poland,POL,EMEA,Europe,PLN,PL_VAT_STD,Polish,Europe/Warsaw,Y,N,Tier2,38,748,Y,Y,2009-05-12,9999-12-31,2026-04-17 12:57:10.007941,MDM_CORE
AE,United Arab Emirates,ARE,APAC,Rest of Asia Pacific,AED,AE_VAT_STD,Arabic,Asia/Dubai,Y,Y,Tier2,10,499,N,Y,2010-01-07,9999-12-31,2026-04-17 12:57:10.007942,MDM_CORE
SA,Saudi Arabia,SAU,APAC,Rest of Asia Pacific,SAR,SA_VAT_STD,Arabic,Asia/Riyadh,Y,N,Tier2,36,1062,N,Y,2010-01-13,9999-12-31,2026-04-17 12:57:10.007944,MDM_CORE
BR,Brazil,BRA,AMER,Americas,BRL,BR_ICMS_STD,Portuguese,America/Sao_Paulo,Y,Y,Tier2,215,2170,N,Y,2011-12-15,9999-12-31,2026-04-17 12:57:10.007945,MDM_CORE
TR,Turkey,TUR,EMEA,Europe,TRY,TR_VAT_STD,Turkish,Europe/Istanbul,Y,Y,Tier2,85,1108,N,Y,2011-07-12,9999-12-31,2026-04-17 12:57:10.007946,MDM_CORE
SG,Singapore,SGP,APAC,Rest of Asia Pacific,SGD,SG_GST_STD,English,Asia/Singapore,Y,Y,Tier2,6,497,N,Y,2012-12-06,9999-12-31,2026-04-17 12:57:10.007947,MDM_CORE
MY,Malaysia,MYS,APAC,Rest of Asia Pacific,MYR,MY_SST_STD,Malay,Asia/Kuala_Lumpur,Y,N,Tier2,33,430,N,Y,2012-12-06,9999-12-31,2026-04-17 12:57:10.007948,MDM_CORE
IL,Israel,ISR,EMEA,Europe,ILS,IL_VAT_STD,Hebrew,Asia/Jerusalem,Y,N,Tier2,9,520,N,Y,2012-12-06,9999-12-31,2026-04-17 12:57:10.007950,MDM_CORE
ZA,South Africa,ZAF,EMEA,Europe,ZAR,ZA_VAT_STD,English,Africa/Johannesburg,Y,N,Tier2,60,405,N,Y,2013-05-16,9999-12-31,2026-04-17 12:57:10.007951,MDM_CORE
TH,Thailand,THA,APAC,Rest of Asia Pacific,THB,TH_VAT_STD,Thai,Asia/Bangkok,Y,N,Tier2,70,574,N,Y,2014-05-06,9999-12-31,2026-04-17 12:57:10.007952,MDM_CORE
