sku_code,country_code,local_part_number,local_launch_date,local_discontinue_date,is_available,created_at,source_system
M808006LL/A,DE,M808006ZD/A,2019-09-23,,Y,2026-04-17 15:11:39.154156,MDM_PRODUCT
M808006LL/A,FR,M808006NF/A,2019-09-23,,Y,2026-04-17 15:11:39.154160,MDM_PRODUCT
M808006LL/A,IT,M808006T/A,2019-09-21,,Y,2026-04-17 15:11:39.154164,MDM_PRODUCT
M808006LL/A,ES,M808006Y/A,2019-09-21,,Y,2026-04-17 15:11:39.154168,MDM_PRODUCT
M808006LL/A,NL,M808006N/A,2019-09-23,,Y,2026-04-17 15:11:39.154172,MDM_PRODUCT
M808006LL/A,SE,M808006KS/A,2019-09-24,,Y,2026-04-17 15:11:39.154176,MDM_PRODUCT
M808006LL/A,CH,M808006ZD/A,2019-09-24,,Y,2026-04-17 15:11:39.154180,MDM_PRODUCT
M808006LL/A,BE,M808006BFN/A,2019-09-28,,Y,2026-04-17 15:11:39.154184,MDM_PRODUCT
M808006LL/A,NO,M808006H/A,2019-09-24,,Y,2026-04-17 15:11:39.154188,MDM_PRODUCT
M808006LL/A,DK,M808006DK/A,2019-09-23,,Y,2026-04-17 15:11:39.154192,MDM_PRODUCT
M808006LL/A,FI,M808006KN/A,2019-09-23,,Y,2026-04-17 15:11:39.154196,MDM_PRODUCT
M808006LL/A,IE,M808006B/A,2019-09-27,,Y,2026-04-17 15:11:39.154200,MDM_PRODUCT
M808006LL/A,AT,M808006ZD/A,2019-09-28,,Y,2026-04-17 15:11:39.154204,MDM_PRODUCT
M808006LL/A,PL,M808006ZE/A,2019-09-23,,Y,2026-04-17 15:11:39.154209,MDM_PRODUCT
M808006LL/A,TR,M808006TU/A,2019-10-02,,Y,2026-04-17 15:11:39.154213,MDM_PRODUCT
M808006LL/A,ZA,M808006XA/A,2019-10-15,,Y,2026-04-17 15:11:39.154216,MDM_PRODUCT
M808006LL/A,IL,M808006HB/A,2019-09-29,,Y,2026-04-17 15:11:39.154220,MDM_PRODUCT
M808006LL/A,JP,M808006J/A,2019-09-23,,Y,2026-04-17 15:11:39.154225,MDM_PRODUCT
M808006LL/A,CN,M808006CH/A,2019-09-23,,Y,2026-04-17 15:11:39.154228,MDM_PRODUCT
M808006LL/A,HK,M808006ZP/A,2019-09-22,,Y,2026-04-17 15:11:39.154232,MDM_PRODUCT
M808006LL/A,TW,M808006FE/A,2019-09-22,,Y,2026-04-17 15:11:39.154236,MDM_PRODUCT
M808006LL/A,KR,M808006KH/A,2019-09-27,,Y,2026-04-17 15:11:39.154240,MDM_PRODUCT
M808006LL/A,IN,M808006HN/A,2019-10-05,,Y,2026-04-17 15:11:39.154244,MDM_PRODUCT
M808006LL/A,AU,M808006X/A,2019-09-23,,Y,2026-04-17 15:11:39.154248,MDM_PRODUCT
M808006LL/A,NZ,M808006X/A,2019-09-23,,Y,2026-04-17 15:11:39.154253,MDM_PRODUCT
M808006LL/A,SG,M808006ZA/A,2019-09-24,,Y,2026-04-17 15:11:39.154257,MDM_PRODUCT
M808006LL/A,MY,M808006D/A,2019-10-16,,Y,2026-04-17 15:11:39.154261,MDM_PRODUCT
M808006LL/A,TH,M808006TH/A,2019-10-05,,Y,2026-04-17 15:11:39.154265,MDM_PRODUCT
M808006LL/A,AE,M808006AB/A,2019-09-28,,Y,2026-04-17 15:11:39.154269,MDM_PRODUCT
M808006LL/A,SA,M808006AB/A,2019-10-01,,Y,2026-04-17 15:11:39.154273,MDM_PRODUCT
MED578CLL/A,US,MED578CLL/A,2019-09-20,,Y,2026-04-17 15:11:39.154309,MDM_PRODUCT
MED578CLL/A,CA,MED578CVC/A,2019-09-23,,Y,2026-04-17 15:11:39.154314,MDM_PRODUCT
MED578CLL/A,MX,MED578CLM/A,2019-09-24,,Y,2026-04-17 15:11:39.154318,MDM_PRODUCT
MED578CLL/A,BR,MED578CBZ/A,2019-09-30,,Y,2026-04-17 15:11:39.154322,MDM_PRODUCT
MED578CLL/A,UK,MED578CB/A,2019-09-23,,Y,2026-04-17 15:11:39.154326,MDM_PRODUCT
MED578CLL/A,DE,MED578CZD/A,2019-09-23,,Y,2026-04-17 15:11:39.154330,MDM_PRODUCT
MED578CLL/A,FR,MED578CNF/A,2019-09-23,,Y,2026-04-17 15:11:39.154334,MDM_PRODUCT
MED578CLL/A,IT,MED578CT/A,2019-09-23,,Y,2026-04-17 15:11:39.154339,MDM_PRODUCT
MED578CLL/A,ES,MED578CY/A,2019-09-22,,Y,2026-04-17 15:11:39.154343,MDM_PRODUCT
MED578CLL/A,NL,MED578CN/A,2019-09-21,,Y,2026-04-17 15:11:39.154347,MDM_PRODUCT
MED578CLL/A,SE,MED578CKS/A,2019-09-25,,Y,2026-04-17 15:11:39.154351,MDM_PRODUCT
MED578CLL/A,CH,MED578CZD/A,2019-09-23,,Y,2026-04-17 15:11:39.154355,MDM_PRODUCT
MED578CLL/A,BE,MED578CBFN/A,2019-09-30,,Y,2026-04-17 15:11:39.154364,MDM_PRODUCT
MED578CLL/A,NO,MED578CH/A,2019-09-30,,Y,2026-04-17 15:11:39.154368,MDM_PRODUCT
MED578CLL/A,DK,MED578CDK/A,2019-09-28,,Y,2026-04-17 15:11:39.154372,MDM_PRODUCT
MED578CLL/A,FI,MED578CKN/A,2019-09-29,,Y,2026-04-17 15:11:39.154376,MDM_PRODUCT
MED578CLL/A,IE,MED578CB/A,2019-09-28,,Y,2026-04-17 15:11:39.154381,MDM_PRODUCT
MED578CLL/A,AT,MED578CZD/A,2019-09-23,,Y,2026-04-17 15:11:39.154385,MDM_PRODUCT
MED578CLL/A,PL,MED578CZE/A,2019-09-27,,Y,2026-04-17 15:11:39.154389,MDM_PRODUCT
MED578CLL/A,TR,MED578CTU/A,2019-10-06,,Y,2026-04-17 15:11:39.154393,MDM_PRODUCT
MED578CLL/A,ZA,MED578CXA/A,2019-10-13,,Y,2026-04-17 15:11:39.154397,MDM_PRODUCT
MED578CLL/A,IL,MED578CHB/A,2019-10-02,,Y,2026-04-17 15:11:39.154401,MDM_PRODUCT
MED578CLL/A,JP,MED578CJ/A,2019-09-21,,Y,2026-04-17 15:11:39.154405,MDM_PRODUCT
MED578CLL/A,CN,MED578CCH/A,2019-09-21,,Y,2026-04-17 15:11:39.154409,MDM_PRODUCT
MED578CLL/A,HK,MED578CZP/A,2019-09-21,,Y,2026-04-17 15:11:39.154413,MDM_PRODUCT
MED578CLL/A,TW,MED578CFE/A,2019-09-26,,Y,2026-04-17 15:11:39.154417,MDM_PRODUCT
MED578CLL/A,KR,MED578CKH/A,2019-09-26,,Y,2026-04-17 15:11:39.154421,MDM_PRODUCT
MED578CLL/A,IN,MED578CHN/A,2019-10-10,,Y,2026-04-17 15:11:39.154425,MDM_PRODUCT
MED578CLL/A,AU,MED578CX/A,2019-09-21,,Y,2026-04-17 15:11:39.154431,MDM_PRODUCT
MED578CLL/A,NZ,MED578CX/A,2019-09-27,,Y,2026-04-17 15:11:39.154435,MDM_PRODUCT
MED578CLL/A,SG,MED578CZA/A,2019-09-25,,Y,2026-04-17 15:11:39.154439,MDM_PRODUCT
MED578CLL/A,MY,MED578CD/A,2019-10-04,,Y,2026-04-17 15:11:39.154443,MDM_PRODUCT
MED578CLL/A,TH,MED578CTH/A,2019-10-17,,Y,2026-04-17 15:11:39.154447,MDM_PRODUCT
MED578CLL/A,AE,MED578CAB/A,2019-09-27,,Y,2026-04-17 15:11:39.154451,MDM_PRODUCT
MED578CLL/A,SA,MED578CAB/A,2019-10-03,,Y,2026-04-17 15:11:39.154461,MDM_PRODUCT
M131BF6LL/A,US,M131BF6LL/A,2019-09-20,,Y,2026-04-17 15:11:39.154494,MDM_PRODUCT
M131BF6LL/A,CA,M131BF6VC/A,2019-09-23,,Y,2026-04-17 15:11:39.154498,MDM_PRODUCT
M131BF6LL/A,MX,M131BF6LM/A,2019-09-24,,Y,2026-04-17 15:11:39.154502,MDM_PRODUCT
M131BF6LL/A,BR,M131BF6BZ/A,2019-10-07,,Y,2026-04-17 15:11:39.154506,MDM_PRODUCT
M131BF6LL/A,UK,M131BF6B/A,2019-09-22,,Y,2026-04-17 15:11:39.154511,MDM_PRODUCT
M131BF6LL/A,DE,M131BF6ZD/A,2019-09-23,,Y,2026-04-17 15:11:39.154515,MDM_PRODUCT
M131BF6LL/A,FR,M131BF6NF/A,2019-09-23,,Y,2026-04-17 15:11:39.154519,MDM_PRODUCT
M131BF6LL/A,IT,M131BF6T/A,2019-09-23,,Y,2026-04-17 15:11:39.154523,MDM_PRODUCT
M131BF6LL/A,ES,M131BF6Y/A,2019-09-23,,Y,2026-04-17 15:11:39.154527,MDM_PRODUCT
M131BF6LL/A,NL,M131BF6N/A,2019-09-21,,Y,2026-04-17 15:11:39.154531,MDM_PRODUCT
M131BF6LL/A,SE,M131BF6KS/A,2019-09-29,,Y,2026-04-17 15:11:39.154535,MDM_PRODUCT
M131BF6LL/A,CH,M131BF6ZD/A,2019-09-25,,Y,2026-04-17 15:11:39.154539,MDM_PRODUCT
M131BF6LL/A,BE,M131BF6BFN/A,2019-09-27,,Y,2026-04-17 15:11:39.154543,MDM_PRODUCT
M131BF6LL/A,NO,M131BF6H/A,2019-09-23,,Y,2026-04-17 15:11:39.154547,MDM_PRODUCT
M131BF6LL/A,DK,M131BF6DK/A,2019-09-30,,Y,2026-04-17 15:11:39.154551,MDM_PRODUCT
M131BF6LL/A,FI,M131BF6KN/A,2019-09-23,,Y,2026-04-17 15:11:39.154555,MDM_PRODUCT
M131BF6LL/A,IE,M131BF6B/A,2019-09-25,,Y,2026-04-17 15:11:39.154559,MDM_PRODUCT
M131BF6LL/A,AT,M131BF6ZD/A,2019-09-27,,Y,2026-04-17 15:11:39.154563,MDM_PRODUCT
M131BF6LL/A,PL,M131BF6ZE/A,2019-09-25,,Y,2026-04-17 15:11:39.154568,MDM_PRODUCT
M131BF6LL/A,TR,M131BF6TU/A,2019-09-27,,Y,2026-04-17 15:11:39.154572,MDM_PRODUCT
M131BF6LL/A,ZA,M131BF6XA/A,2019-10-15,,Y,2026-04-17 15:11:39.154576,MDM_PRODUCT
M131BF6LL/A,IL,M131BF6HB/A,2019-10-02,,Y,2026-04-17 15:11:39.154580,MDM_PRODUCT
M131BF6LL/A,JP,M131BF6J/A,2019-09-23,,Y,2026-04-17 15:11:39.154584,MDM_PRODUCT
M131BF6LL/A,CN,M131BF6CH/A,2019-09-27,,Y,2026-04-17 15:11:39.154588,MDM_PRODUCT
M131BF6LL/A,HK,M131BF6ZP/A,2019-09-25,,Y,2026-04-17 15:11:39.154592,MDM_PRODUCT
M131BF6LL/A,TW,M131BF6FE/A,2019-09-25,,Y,2026-04-17 15:11:39.154597,MDM_PRODUCT
M131BF6LL/A,KR,M131BF6KH/A,2019-09-21,,Y,2026-04-17 15:11:39.154643,MDM_PRODUCT
M131BF6LL/A,IN,M131BF6HN/A,2019-10-15,,Y,2026-04-17 15:11:39.154648,MDM_PRODUCT
M131BF6LL/A,AU,M131BF6X/A,2019-09-22,,Y,2026-04-17 15:11:39.154652,MDM_PRODUCT
M131BF6LL/A,NZ,M131BF6X/A,2019-09-29,,Y,2026-04-17 15:11:39.154656,MDM_PRODUCT
M131BF6LL/A,SG,M131BF6ZA/A,2019-09-22,,Y,2026-04-17 15:11:39.154660,MDM_PRODUCT
M131BF6LL/A,MY,M131BF6D/A,2019-10-07,,Y,2026-04-17 15:11:39.154664,MDM_PRODUCT
M131BF6LL/A,TH,M131BF6TH/A,2019-10-16,,Y,2026-04-17 15:11:39.154668,MDM_PRODUCT
M131BF6LL/A,AE,M131BF6AB/A,2019-10-04,,Y,2026-04-17 15:11:39.154672,MDM_PRODUCT
M131BF6LL/A,SA,M131BF6AB/A,2019-09-28,,Y,2026-04-17 15:11:39.154676,MDM_PRODUCT
MDA4855LL/A,US,MDA4855LL/A,2019-09-20,,Y,2026-04-17 15:11:39.154707,MDM_PRODUCT
MDA4855LL/A,CA,MDA4855VC/A,2019-09-21,,Y,2026-04-17 15:11:39.154711,MDM_PRODUCT
MDA4855LL/A,MX,MDA4855LM/A,2019-09-25,,Y,2026-04-17 15:11:39.154715,MDM_PRODUCT
MDA4855LL/A,BR,MDA4855BZ/A,2019-10-11,,Y,2026-04-17 15:11:39.154719,MDM_PRODUCT
MDA4855LL/A,UK,MDA4855B/A,2019-09-23,,Y,2026-04-17 15:11:39.154723,MDM_PRODUCT
MDA4855LL/A,DE,MDA4855ZD/A,2019-09-23,,Y,2026-04-17 15:11:39.154727,MDM_PRODUCT
MDA4855LL/A,FR,MDA4855NF/A,2019-09-23,,Y,2026-04-17 15:11:39.154731,MDM_PRODUCT
MDA4855LL/A,IT,MDA4855T/A,2019-09-21,,Y,2026-04-17 15:11:39.154735,MDM_PRODUCT
MDA4855LL/A,ES,MDA4855Y/A,2019-09-21,,Y,2026-04-17 15:11:39.154739,MDM_PRODUCT
MDA4855LL/A,NL,MDA4855N/A,2019-09-21,,Y,2026-04-17 15:11:39.154743,MDM_PRODUCT
MDA4855LL/A,SE,MDA4855KS/A,2019-09-25,,Y,2026-04-17 15:11:39.154747,MDM_PRODUCT
MDA4855LL/A,CH,MDA4855ZD/A,2019-09-26,,Y,2026-04-17 15:11:39.154752,MDM_PRODUCT
MDA4855LL/A,BE,MDA4855BFN/A,2019-09-27,,Y,2026-04-17 15:11:39.154756,MDM_PRODUCT
MDA4855LL/A,NO,MDA4855H/A,2019-09-25,,Y,2026-04-17 15:11:39.154759,MDM_PRODUCT
MDA4855LL/A,DK,MDA4855DK/A,2019-09-28,,Y,2026-04-17 15:11:39.154764,MDM_PRODUCT
MDA4855LL/A,FI,MDA4855KN/A,2019-09-26,,Y,2026-04-17 15:11:39.154768,MDM_PRODUCT
MDA4855LL/A,IE,MDA4855B/A,2019-09-25,,Y,2026-04-17 15:11:39.154772,MDM_PRODUCT
MDA4855LL/A,AT,MDA4855ZD/A,2019-09-28,,Y,2026-04-17 15:11:39.154776,MDM_PRODUCT
MDA4855LL/A,PL,MDA4855ZE/A,2019-09-23,,Y,2026-04-17 15:11:39.154780,MDM_PRODUCT
MDA4855LL/A,TR,MDA4855TU/A,2019-10-04,,Y,2026-04-17 15:11:39.154784,MDM_PRODUCT
MDA4855LL/A,ZA,MDA4855XA/A,2019-10-18,,Y,2026-04-17 15:11:39.154788,MDM_PRODUCT
MDA4855LL/A,IL,MDA4855HB/A,2019-10-04,,Y,2026-04-17 15:11:39.154792,MDM_PRODUCT
MDA4855LL/A,JP,MDA4855J/A,2019-09-21,,Y,2026-04-17 15:11:39.154797,MDM_PRODUCT
MDA4855LL/A,CN,MDA4855CH/A,2019-09-21,,Y,2026-04-17 15:11:39.154801,MDM_PRODUCT
MDA4855LL/A,HK,MDA4855ZP/A,2019-09-22,,Y,2026-04-17 15:11:39.154805,MDM_PRODUCT
MDA4855LL/A,TW,MDA4855FE/A,2019-09-27,,Y,2026-04-17 15:11:39.154809,MDM_PRODUCT
MDA4855LL/A,KR,MDA4855KH/A,2019-09-24,,Y,2026-04-17 15:11:39.154813,MDM_PRODUCT
MDA4855LL/A,IN,MDA4855HN/A,2019-10-09,,Y,2026-04-17 15:11:39.154817,MDM_PRODUCT
MDA4855LL/A,AU,MDA4855X/A,2019-09-22,,Y,2026-04-17 15:11:39.154821,MDM_PRODUCT
MDA4855LL/A,NZ,MDA4855X/A,2019-09-23,,Y,2026-04-17 15:11:39.154825,MDM_PRODUCT
MDA4855LL/A,SG,MDA4855ZA/A,2019-09-21,,Y,2026-04-17 15:11:39.154829,MDM_PRODUCT
MDA4855LL/A,MY,MDA4855D/A,2019-10-08,,Y,2026-04-17 15:11:39.154833,MDM_PRODUCT
MDA4855LL/A,TH,MDA4855TH/A,2019-10-11,,Y,2026-04-17 15:11:39.154837,MDM_PRODUCT
MDA4855LL/A,AE,MDA4855AB/A,2019-09-28,,Y,2026-04-17 15:11:39.154842,MDM_PRODUCT
MDA4855LL/A,SA,MDA4855AB/A,2019-09-28,,Y,2026-04-17 15:11:39.154846,MDM_PRODUCT
M4D01C5LL/A,US,M4D01C5LL/A,2019-09-20,,Y,2026-04-17 15:11:39.154877,MDM_PRODUCT
M4D01C5LL/A,CA,M4D01C5VC/A,2019-09-21,,Y,2026-04-17 15:11:39.154881,MDM_PRODUCT
M4D01C5LL/A,MX,M4D01C5LM/A,2019-09-28,,Y,2026-04-17 15:11:39.154885,MDM_PRODUCT
M4D01C5LL/A,BR,M4D01C5BZ/A,2019-10-08,,Y,2026-04-17 15:11:39.154890,MDM_PRODUCT
M4D01C5LL/A,UK,M4D01C5B/A,2019-09-23,,Y,2026-04-17 15:11:39.154894,MDM_PRODUCT
M4D01C5LL/A,DE,M4D01C5ZD/A,2019-09-23,,Y,2026-04-17 15:11:39.154898,MDM_PRODUCT
M4D01C5LL/A,FR,M4D01C5NF/A,2019-09-23,,Y,2026-04-17 15:11:39.154902,MDM_PRODUCT
M4D01C5LL/A,IT,M4D01C5T/A,2019-09-23,,Y,2026-04-17 15:11:39.154906,MDM_PRODUCT
M4D01C5LL/A,ES,M4D01C5Y/A,2019-09-21,,Y,2026-04-17 15:11:39.154910,MDM_PRODUCT
M4D01C5LL/A,NL,M4D01C5N/A,2019-09-23,,Y,2026-04-17 15:11:39.154914,MDM_PRODUCT
M4D01C5LL/A,SE,M4D01C5KS/A,2019-09-24,,Y,2026-04-17 15:11:39.154918,MDM_PRODUCT
M4D01C5LL/A,CH,M4D01C5ZD/A,2019-09-27,,Y,2026-04-17 15:11:39.154922,MDM_PRODUCT
M4D01C5LL/A,BE,M4D01C5BFN/A,2019-09-25,,Y,2026-04-17 15:11:39.154926,MDM_PRODUCT
M4D01C5LL/A,NO,M4D01C5H/A,2019-09-25,,Y,2026-04-17 15:11:39.154930,MDM_PRODUCT
M4D01C5LL/A,DK,M4D01C5DK/A,2019-09-28,,Y,2026-04-17 15:11:39.154934,MDM_PRODUCT
M4D01C5LL/A,FI,M4D01C5KN/A,2019-09-27,,Y,2026-04-17 15:11:39.154938,MDM_PRODUCT
M4D01C5LL/A,IE,M4D01C5B/A,2019-09-28,,Y,2026-04-17 15:11:39.154942,MDM_PRODUCT
M4D01C5LL/A,AT,M4D01C5ZD/A,2019-09-23,,Y,2026-04-17 15:11:39.154946,MDM_PRODUCT
M4D01C5LL/A,PL,M4D01C5ZE/A,2019-09-25,,Y,2026-04-17 15:11:39.154950,MDM_PRODUCT
M4D01C5LL/A,TR,M4D01C5TU/A,2019-09-28,,Y,2026-04-17 15:11:39.154954,MDM_PRODUCT
M4D01C5LL/A,ZA,M4D01C5XA/A,2019-10-05,,Y,2026-04-17 15:11:39.154959,MDM_PRODUCT
M4D01C5LL/A,IL,M4D01C5HB/A,2019-10-03,,Y,2026-04-17 15:11:39.154963,MDM_PRODUCT
M4D01C5LL/A,JP,M4D01C5J/A,2019-09-23,,Y,2026-04-17 15:11:39.154967,MDM_PRODUCT
M4D01C5LL/A,CN,M4D01C5CH/A,2019-09-26,,Y,2026-04-17 15:11:39.154971,MDM_PRODUCT
M4D01C5LL/A,HK,M4D01C5ZP/A,2019-09-21,,Y,2026-04-17 15:11:39.154975,MDM_PRODUCT
M4D01C5LL/A,TW,M4D01C5FE/A,2019-09-26,,Y,2026-04-17 15:11:39.154979,MDM_PRODUCT
M4D01C5LL/A,KR,M4D01C5KH/A,2019-09-23,,Y,2026-04-17 15:11:39.154983,MDM_PRODUCT
M4D01C5LL/A,IN,M4D01C5HN/A,2019-10-16,,Y,2026-04-17 15:11:39.154988,MDM_PRODUCT
M4D01C5LL/A,AU,M4D01C5X/A,2019-09-21,,Y,2026-04-17 15:11:39.154992,MDM_PRODUCT
M4D01C5LL/A,NZ,M4D01C5X/A,2019-09-28,,Y,2026-04-17 15:11:39.154996,MDM_PRODUCT
M4D01C5LL/A,SG,M4D01C5ZA/A,2019-09-24,,Y,2026-04-17 15:11:39.155000,MDM_PRODUCT
M4D01C5LL/A,MY,M4D01C5D/A,2019-10-11,,Y,2026-04-17 15:11:39.155004,MDM_PRODUCT
M4D01C5LL/A,TH,M4D01C5TH/A,2019-10-11,,Y,2026-04-17 15:11:39.155008,MDM_PRODUCT
M4D01C5LL/A,AE,M4D01C5AB/A,2019-10-01,,Y,2026-04-17 15:11:39.155012,MDM_PRODUCT
M4D01C5LL/A,SA,M4D01C5AB/A,2019-10-03,,Y,2026-04-17 15:11:39.155018,MDM_PRODUCT
MB42970LL/A,US,MB42970LL/A,2019-09-20,,Y,2026-04-17 15:11:39.155046,MDM_PRODUCT
MB42970LL/A,CA,MB42970VC/A,2019-09-22,,Y,2026-04-17 15:11:39.155050,MDM_PRODUCT
MB42970LL/A,MX,MB42970LM/A,2019-09-29,,Y,2026-04-17 15:11:39.155056,MDM_PRODUCT
MB42970LL/A,BR,MB42970BZ/A,2019-10-07,,Y,2026-04-17 15:11:39.155061,MDM_PRODUCT
MB42970LL/A,UK,MB42970B/A,2019-09-23,,Y,2026-04-17 15:11:39.155065,MDM_PRODUCT
MB42970LL/A,DE,MB42970ZD/A,2019-09-22,,Y,2026-04-17 15:11:39.155070,MDM_PRODUCT
MB42970LL/A,FR,MB42970NF/A,2019-09-23,,Y,2026-04-17 15:11:39.155074,MDM_PRODUCT
MB42970LL/A,IT,MB42970T/A,2019-09-21,,Y,2026-04-17 15:11:39.155078,MDM_PRODUCT
MB42970LL/A,ES,MB42970Y/A,2019-09-23,,Y,2026-04-17 15:11:39.155082,MDM_PRODUCT
MB42970LL/A,NL,MB42970N/A,2019-09-22,,Y,2026-04-17 15:11:39.155086,MDM_PRODUCT
MB42970LL/A,SE,MB42970KS/A,2019-09-24,,Y,2026-04-17 15:11:39.155090,MDM_PRODUCT
MB42970LL/A,CH,MB42970ZD/A,2019-09-30,,Y,2026-04-17 15:11:39.155094,MDM_PRODUCT
MB42970LL/A,BE,MB42970BFN/A,2019-09-25,,Y,2026-04-17 15:11:39.155098,MDM_PRODUCT
MB42970LL/A,NO,MB42970H/A,2019-09-28,,Y,2026-04-17 15:11:39.155102,MDM_PRODUCT
MB42970LL/A,DK,MB42970DK/A,2019-09-27,,Y,2026-04-17 15:11:39.155106,MDM_PRODUCT
MB42970LL/A,FI,MB42970KN/A,2019-09-28,,Y,2026-04-17 15:11:39.155110,MDM_PRODUCT
MB42970LL/A,IE,MB42970B/A,2019-09-25,,Y,2026-04-17 15:11:39.155114,MDM_PRODUCT
MB42970LL/A,AT,MB42970ZD/A,2019-09-28,,Y,2026-04-17 15:11:39.155119,MDM_PRODUCT
MB42970LL/A,PL,MB42970ZE/A,2019-09-25,,Y,2026-04-17 15:11:39.155123,MDM_PRODUCT
MB42970LL/A,TR,MB42970TU/A,2019-10-09,,Y,2026-04-17 15:11:39.155127,MDM_PRODUCT
MB42970LL/A,ZA,MB42970XA/A,2019-10-16,,Y,2026-04-17 15:11:39.155131,MDM_PRODUCT
