sku_code,model_code,variant,price_tier,global_launch_date,is_active,created_at,source_system
MCE6A0CLL/A,IPH201902,256GB / Silver,Ultra,2019-09-20,Y,2026-04-17 15:11:39.156490,ERP_SKU
M80637DLL/A,IPH201902,256GB / Gold,Ultra,2019-09-20,Y,2026-04-17 15:11:39.156492,ERP_SKU
M29B226LL/A,IPH201902,256GB / Midnight Green,Ultra,2019-09-20,Y,2026-04-17 15:11:39.156493,ERP_SKU
ME78131LL/A,IPH201902,512GB / Space Gray,Ultra,2019-09-20,Y,2026-04-17 15:11:39.156495,ERP_SKU
M8EA5B8LL/A,IPH201902,512GB / Silver,Ultra,2019-09-20,Y,2026-04-17 15:11:39.156496,ERP_SKU
M013559LL/A,IPH201902,512GB / Gold,Ultra,2019-09-20,Y,2026-04-17 15:11:39.156497,ERP_SKU
MA33B19LL/A,IPH201902,512GB / Midnight Green,Ultra,2019-09-20,Y,2026-04-17 15:11:39.156499,ERP_SKU
M383651LL/A,IPH201902,1TB / Space Gray,Ultra,2019-09-20,Y,2026-04-17 15:11:39.156500,ERP_SKU
M1CCA8FLL/A,IPH201902,1TB / Silver,Ultra,2019-09-20,Y,2026-04-17 15:11:39.156501,ERP_SKU
M79E656LL/A,IPH201902,1TB / Gold,Ultra,2019-09-20,Y,2026-04-17 15:11:39.156503,ERP_SKU
MA1EA69LL/A,IPH201902,1TB / Midnight Green,Ultra,2019-09-20,Y,2026-04-17 15:11:39.156504,ERP_SKU
MDBD61BLL/A,IPH201903,256GB / Space Gray,Ultra,2019-09-20,Y,2026-04-17 15:11:39.158482,ERP_SKU
M4D0B35LL/A,IPH201903,256GB / Silver,Ultra,2019-09-20,Y,2026-04-17 15:11:39.158483,ERP_SKU
M20B344LL/A,IPH201903,256GB / Gold,Ultra,2019-09-20,Y,2026-04-17 15:11:39.158484,ERP_SKU
M1F817CLL/A,IPH201903,256GB / Midnight Green,Ultra,2019-09-20,Y,2026-04-17 15:11:39.158486,ERP_SKU
M2E2AE0LL/A,IPH201903,512GB / Space Gray,Ultra,2019-09-20,Y,2026-04-17 15:11:39.158487,ERP_SKU
M8FE0FELL/A,IPH201903,512GB / Silver,Ultra,2019-09-20,Y,2026-04-17 15:11:39.158488,ERP_SKU
M65B569LL/A,IPH201903,512GB / Gold,Ultra,2019-09-20,Y,2026-04-17 15:11:39.158490,ERP_SKU
MD096F0LL/A,IPH201903,512GB / Midnight Green,Ultra,2019-09-20,Y,2026-04-17 15:11:39.158493,ERP_SKU
M6D243DLL/A,IPH201903,1TB / Space Gray,Ultra,2019-09-20,Y,2026-04-17 15:11:39.158494,ERP_SKU
M56445ELL/A,IPH201903,1TB / Silver,Ultra,2019-09-20,Y,2026-04-17 15:11:39.158496,ERP_SKU
M377C56LL/A,IPH201903,1TB / Gold,Ultra,2019-09-20,Y,2026-04-17 15:11:39.158497,ERP_SKU
M1F574ALL/A,IPH201903,1TB / Midnight Green,Ultra,2019-09-20,Y,2026-04-17 15:11:39.158498,ERP_SKU
MFB1D5ALL/A,IPH202001,128GB / Black,Premium,2020-10-23,Y,2026-04-17 15:11:39.160560,ERP_SKU
M92D3E8LL/A,IPH202001,128GB / White,Premium,2020-10-23,Y,2026-04-17 15:11:39.160562,ERP_SKU
M59B919LL/A,IPH202001,128GB / Blue,Premium,2020-10-23,Y,2026-04-17 15:11:39.160564,ERP_SKU
M5FD317LL/A,IPH202001,128GB / Green,Premium,2020-10-23,Y,2026-04-17 15:11:39.160565,ERP_SKU
M11F2C1LL/A,IPH202001,128GB / Red,Premium,2020-10-23,Y,2026-04-17 15:11:39.160566,ERP_SKU
MB9C260LL/A,IPH202001,256GB / Black,Premium,2020-10-23,Y,2026-04-17 15:11:39.160568,ERP_SKU
MED0E22LL/A,IPH202001,256GB / White,Premium,2020-10-23,Y,2026-04-17 15:11:39.160569,ERP_SKU
M876CB1LL/A,IPH202001,256GB / Blue,Premium,2020-10-23,Y,2026-04-17 15:11:39.160570,ERP_SKU
M5A8BA9LL/A,IPH202001,256GB / Green,Premium,2020-10-23,Y,2026-04-17 15:11:39.160571,ERP_SKU
M15734CLL/A,IPH202001,256GB / Red,Premium,2020-10-23,Y,2026-04-17 15:11:39.160573,ERP_SKU
MD24A66LL/A,IPH202001,512GB / Black,Premium,2020-10-23,Y,2026-04-17 15:11:39.160574,ERP_SKU
ME32E46LL/A,IPH202001,512GB / White,Premium,2020-10-23,Y,2026-04-17 15:11:39.160575,ERP_SKU
MADE336LL/A,IPH202001,512GB / Blue,Premium,2020-10-23,Y,2026-04-17 15:11:39.160576,ERP_SKU
MDF07A4LL/A,IPH202001,512GB / Green,Premium,2020-10-23,Y,2026-04-17 15:11:39.160578,ERP_SKU
ME0486DLL/A,IPH202001,512GB / Red,Premium,2020-10-23,Y,2026-04-17 15:11:39.160579,ERP_SKU
M9015A1LL/A,IPH202002,128GB / Black,Premium,2020-10-23,Y,2026-04-17 15:11:39.163395,ERP_SKU
M5F3637LL/A,IPH202002,128GB / White,Premium,2020-10-23,Y,2026-04-17 15:11:39.163397,ERP_SKU
MCE301FLL/A,IPH202002,128GB / Blue,Premium,2020-10-23,Y,2026-04-17 15:11:39.163398,ERP_SKU
MB81D21LL/A,IPH202002,128GB / Green,Premium,2020-10-23,Y,2026-04-17 15:11:39.163399,ERP_SKU
MD6A5A5LL/A,IPH202002,128GB / Red,Premium,2020-10-23,Y,2026-04-17 15:11:39.163400,ERP_SKU
MB94C79LL/A,IPH202002,256GB / Black,Premium,2020-10-23,Y,2026-04-17 15:11:39.163402,ERP_SKU
M19F693LL/A,IPH202002,256GB / White,Premium,2020-10-23,Y,2026-04-17 15:11:39.163403,ERP_SKU
MA00770LL/A,IPH202002,256GB / Blue,Premium,2020-10-23,Y,2026-04-17 15:11:39.163404,ERP_SKU
M38B2BELL/A,IPH202002,256GB / Green,Premium,2020-10-23,Y,2026-04-17 15:11:39.163406,ERP_SKU
MBB4468LL/A,IPH202002,256GB / Red,Premium,2020-10-23,Y,2026-04-17 15:11:39.163407,ERP_SKU
M0CF0E7LL/A,IPH202002,512GB / Black,Premium,2020-10-23,Y,2026-04-17 15:11:39.163408,ERP_SKU
MDEF5BFLL/A,IPH202002,512GB / White,Premium,2020-10-23,Y,2026-04-17 15:11:39.163409,ERP_SKU
MB9AD20LL/A,IPH202002,512GB / Blue,Premium,2020-10-23,Y,2026-04-17 15:11:39.163411,ERP_SKU
M3572B3LL/A,IPH202002,512GB / Green,Premium,2020-10-23,Y,2026-04-17 15:11:39.163412,ERP_SKU
M922A07LL/A,IPH202002,512GB / Red,Premium,2020-10-23,Y,2026-04-17 15:11:39.163413,ERP_SKU
MDBCA4BLL/A,IPH202003,256GB / Space Gray,Ultra,2020-10-23,Y,2026-04-17 15:11:39.173246,ERP_SKU
MC030A9LL/A,IPH202003,256GB / Silver,Ultra,2020-10-23,Y,2026-04-17 15:11:39.173249,ERP_SKU
MC23F1CLL/A,IPH202003,256GB / Gold,Ultra,2020-10-23,Y,2026-04-17 15:11:39.173250,ERP_SKU
M9103D6LL/A,IPH202003,256GB / Pacific Blue,Ultra,2020-10-23,Y,2026-04-17 15:11:39.173255,ERP_SKU
M3C3089LL/A,IPH202003,512GB / Space Gray,Ultra,2020-10-23,Y,2026-04-17 15:11:39.173257,ERP_SKU
M9EBCB8LL/A,IPH202003,512GB / Silver,Ultra,2020-10-23,Y,2026-04-17 15:11:39.173258,ERP_SKU
MF41893LL/A,IPH202003,512GB / Gold,Ultra,2020-10-23,Y,2026-04-17 15:11:39.173259,ERP_SKU
MCC0701LL/A,IPH202003,512GB / Pacific Blue,Ultra,2020-10-23,Y,2026-04-17 15:11:39.173261,ERP_SKU
M6B3B72LL/A,IPH202003,1TB / Space Gray,Ultra,2020-10-23,Y,2026-04-17 15:11:39.173262,ERP_SKU
M2BE435LL/A,IPH202003,1TB / Silver,Ultra,2020-10-23,Y,2026-04-17 15:11:39.173263,ERP_SKU
M8CCFE5LL/A,IPH202003,1TB / Gold,Ultra,2020-10-23,Y,2026-04-17 15:11:39.173264,ERP_SKU
ME2601ALL/A,IPH202003,1TB / Pacific Blue,Ultra,2020-10-23,Y,2026-04-17 15:11:39.173266,ERP_SKU
M05C22ELL/A,IPH202004,256GB / Space Gray,Ultra,2020-11-13,Y,2026-04-17 15:11:39.175251,ERP_SKU
M85E348LL/A,IPH202004,256GB / Silver,Ultra,2020-11-13,Y,2026-04-17 15:11:39.175254,ERP_SKU
M68C725LL/A,IPH202004,256GB / Gold,Ultra,2020-11-13,Y,2026-04-17 15:11:39.175257,ERP_SKU
MB93F33LL/A,IPH202004,256GB / Pacific Blue,Ultra,2020-11-13,Y,2026-04-17 15:11:39.175258,ERP_SKU
M24C1BELL/A,IPH202004,512GB / Space Gray,Ultra,2020-11-13,Y,2026-04-17 15:11:39.175260,ERP_SKU
M946327LL/A,IPH202004,512GB / Silver,Ultra,2020-11-13,Y,2026-04-17 15:11:39.175261,ERP_SKU
MC85B0ELL/A,IPH202004,512GB / Gold,Ultra,2020-11-13,Y,2026-04-17 15:11:39.175262,ERP_SKU
M6DE886LL/A,IPH202004,512GB / Pacific Blue,Ultra,2020-11-13,Y,2026-04-17 15:11:39.175264,ERP_SKU
MED11A1LL/A,IPH202004,1TB / Space Gray,Ultra,2020-11-13,Y,2026-04-17 15:11:39.175265,ERP_SKU
M61D168LL/A,IPH202004,1TB / Silver,Ultra,2020-11-13,Y,2026-04-17 15:11:39.175266,ERP_SKU
MFB31DBLL/A,IPH202004,1TB / Gold,Ultra,2020-11-13,Y,2026-04-17 15:11:39.175267,ERP_SKU
MD7E61CLL/A,IPH202004,1TB / Pacific Blue,Ultra,2020-11-13,Y,2026-04-17 15:11:39.175269,ERP_SKU
MA6A473LL/A,IPH202101,128GB / Black,Premium,2021-09-24,Y,2026-04-17 15:11:39.177356,ERP_SKU
M045619LL/A,IPH202101,128GB / Blue,Premium,2021-09-24,Y,2026-04-17 15:11:39.177357,ERP_SKU
MC1162ALL/A,IPH202101,128GB / Green,Premium,2021-09-24,Y,2026-04-17 15:11:39.177358,ERP_SKU
M09FE40LL/A,IPH202101,128GB / Pink,Premium,2021-09-24,Y,2026-04-17 15:11:39.177360,ERP_SKU
M4E00FFLL/A,IPH202101,128GB / Red,Premium,2021-09-24,Y,2026-04-17 15:11:39.177361,ERP_SKU
M785147LL/A,IPH202101,128GB / Starlight,Premium,2021-09-24,Y,2026-04-17 15:11:39.177362,ERP_SKU
MA7336ALL/A,IPH202101,256GB / Black,Premium,2021-09-24,Y,2026-04-17 15:11:39.177363,ERP_SKU
M54BB74LL/A,IPH202101,256GB / Blue,Premium,2021-09-24,Y,2026-04-17 15:11:39.177365,ERP_SKU
M50531DLL/A,IPH202101,256GB / Green,Premium,2021-09-24,Y,2026-04-17 15:11:39.177366,ERP_SKU
M735A0ALL/A,IPH202101,256GB / Pink,Premium,2021-09-24,Y,2026-04-17 15:11:39.177367,ERP_SKU
M795EB3LL/A,IPH202101,256GB / Red,Premium,2021-09-24,Y,2026-04-17 15:11:39.177368,ERP_SKU
M916CCFLL/A,IPH202101,256GB / Starlight,Premium,2021-09-24,Y,2026-04-17 15:11:39.177369,ERP_SKU
M71B2ADLL/A,IPH202101,512GB / Black,Premium,2021-09-24,Y,2026-04-17 15:11:39.177371,ERP_SKU
MA94E9BLL/A,IPH202101,512GB / Blue,Premium,2021-09-24,Y,2026-04-17 15:11:39.177372,ERP_SKU
M1DF0AFLL/A,IPH202101,512GB / Green,Premium,2021-09-24,Y,2026-04-17 15:11:39.177373,ERP_SKU
M073CC8LL/A,IPH202101,512GB / Pink,Premium,2021-09-24,Y,2026-04-17 15:11:39.177374,ERP_SKU
MAF7D2DLL/A,IPH202101,512GB / Red,Premium,2021-09-24,Y,2026-04-17 15:11:39.177375,ERP_SKU
M0A826DLL/A,IPH202101,512GB / Starlight,Premium,2021-09-24,Y,2026-04-17 15:11:39.177376,ERP_SKU
M4887EDLL/A,IPH202102,128GB / Black,Premium,2021-09-24,Y,2026-04-17 15:11:39.180325,ERP_SKU
M6C1E07LL/A,IPH202102,128GB / Blue,Premium,2021-09-24,Y,2026-04-17 15:11:39.180327,ERP_SKU
M2B7EE7LL/A,IPH202102,128GB / Green,Premium,2021-09-24,Y,2026-04-17 15:11:39.180328,ERP_SKU
M046C1DLL/A,IPH202102,128GB / Pink,Premium,2021-09-24,Y,2026-04-17 15:11:39.180330,ERP_SKU
MDAD2D8LL/A,IPH202102,128GB / Red,Premium,2021-09-24,Y,2026-04-17 15:11:39.180331,ERP_SKU
M6EAC85LL/A,IPH202102,128GB / Starlight,Premium,2021-09-24,Y,2026-04-17 15:11:39.180332,ERP_SKU
MF84BD6LL/A,IPH202102,256GB / Black,Premium,2021-09-24,Y,2026-04-17 15:11:39.180334,ERP_SKU
M4D50E2LL/A,IPH202102,256GB / Blue,Premium,2021-09-24,Y,2026-04-17 15:11:39.180335,ERP_SKU
MB7D4A3LL/A,IPH202102,256GB / Green,Premium,2021-09-24,Y,2026-04-17 15:11:39.180336,ERP_SKU
MA7921DLL/A,IPH202102,256GB / Pink,Premium,2021-09-24,Y,2026-04-17 15:11:39.180337,ERP_SKU
MCDE8FFLL/A,IPH202102,256GB / Red,Premium,2021-09-24,Y,2026-04-17 15:11:39.180339,ERP_SKU
M0997E2LL/A,IPH202102,256GB / Starlight,Premium,2021-09-24,Y,2026-04-17 15:11:39.180340,ERP_SKU
M856D38LL/A,IPH202102,512GB / Black,Premium,2021-09-24,Y,2026-04-17 15:11:39.180341,ERP_SKU
MA6C849LL/A,IPH202102,512GB / Blue,Premium,2021-09-24,Y,2026-04-17 15:11:39.180342,ERP_SKU
M633E31LL/A,IPH202102,512GB / Green,Premium,2021-09-24,Y,2026-04-17 15:11:39.180343,ERP_SKU
M9159B7LL/A,IPH202102,512GB / Pink,Premium,2021-09-24,Y,2026-04-17 15:11:39.180345,ERP_SKU
MFB17C4LL/A,IPH202102,512GB / Red,Premium,2021-09-24,Y,2026-04-17 15:11:39.180346,ERP_SKU
M2548FCLL/A,IPH202102,512GB / Starlight,Premium,2021-09-24,Y,2026-04-17 15:11:39.180347,ERP_SKU
M41206BLL/A,IPH202103,256GB / Graphite,Ultra,2021-09-24,Y,2026-04-17 15:11:39.183212,ERP_SKU
M0490F0LL/A,IPH202103,256GB / Silver,Ultra,2021-09-24,Y,2026-04-17 15:11:39.183213,ERP_SKU
M5E7179LL/A,IPH202103,256GB / Gold,Ultra,2021-09-24,Y,2026-04-17 15:11:39.183214,ERP_SKU
M23DF56LL/A,IPH202103,256GB / Sierra Blue,Ultra,2021-09-24,Y,2026-04-17 15:11:39.183216,ERP_SKU
M1E6FCELL/A,IPH202103,512GB / Graphite,Ultra,2021-09-24,Y,2026-04-17 15:11:39.183217,ERP_SKU
MF59BD5LL/A,IPH202103,512GB / Silver,Ultra,2021-09-24,Y,2026-04-17 15:11:39.183218,ERP_SKU
M309CF3LL/A,IPH202103,512GB / Gold,Ultra,2021-09-24,Y,2026-04-17 15:11:39.183219,ERP_SKU
M85B87BLL/A,IPH202103,512GB / Sierra Blue,Ultra,2021-09-24,Y,2026-04-17 15:11:39.183221,ERP_SKU
M2A98FELL/A,IPH202103,1TB / Graphite,Ultra,2021-09-24,Y,2026-04-17 15:11:39.183222,ERP_SKU
M62D832LL/A,IPH202103,1TB / Silver,Ultra,2021-09-24,Y,2026-04-17 15:11:39.183223,ERP_SKU
MC12053LL/A,IPH202103,1TB / Gold,Ultra,2021-09-24,Y,2026-04-17 15:11:39.183224,ERP_SKU
MA77E65LL/A,IPH202103,1TB / Sierra Blue,Ultra,2021-09-24,Y,2026-04-17 15:11:39.183227,ERP_SKU
M9E82ECLL/A,IPH202104,256GB / Graphite,Ultra,2021-09-24,Y,2026-04-17 15:11:39.185307,ERP_SKU
MFD9345LL/A,IPH202104,256GB / Silver,Ultra,2021-09-24,Y,2026-04-17 15:11:39.185309,ERP_SKU
MB40202LL/A,IPH202104,256GB / Gold,Ultra,2021-09-24,Y,2026-04-17 15:11:39.185310,ERP_SKU
MC729F8LL/A,IPH202104,256GB / Sierra Blue,Ultra,2021-09-24,Y,2026-04-17 15:11:39.185312,ERP_SKU
MB12DB8LL/A,IPH202104,512GB / Graphite,Ultra,2021-09-24,Y,2026-04-17 15:11:39.185313,ERP_SKU
M0D6AFCLL/A,IPH202104,512GB / Silver,Ultra,2021-09-24,Y,2026-04-17 15:11:39.185315,ERP_SKU
M718189LL/A,IPH202104,512GB / Gold,Ultra,2021-09-24,Y,2026-04-17 15:11:39.185316,ERP_SKU
M5F0BC6LL/A,IPH202104,512GB / Sierra Blue,Ultra,2021-09-24,Y,2026-04-17 15:11:39.185317,ERP_SKU
MA52864LL/A,IPH202104,1TB / Graphite,Ultra,2021-09-24,Y,2026-04-17 15:11:39.185318,ERP_SKU
M242E2ALL/A,IPH202104,1TB / Silver,Ultra,2021-09-24,Y,2026-04-17 15:11:39.185320,ERP_SKU
M7F2761LL/A,IPH202104,1TB / Gold,Ultra,2021-09-24,Y,2026-04-17 15:11:39.185321,ERP_SKU
MB6AD1CLL/A,IPH202104,1TB / Sierra Blue,Ultra,2021-09-24,Y,2026-04-17 15:11:39.185322,ERP_SKU
M4098BFLL/A,IPH202201,128GB / Black,Premium,2022-09-16,Y,2026-04-17 15:11:39.187226,ERP_SKU
M15321CLL/A,IPH202201,128GB / Blue,Premium,2022-09-16,Y,2026-04-17 15:11:39.187227,ERP_SKU
MDEF884LL/A,IPH202201,128GB / Purple,Premium,2022-09-16,Y,2026-04-17 15:11:39.187229,ERP_SKU
M75ADECLL/A,IPH202201,128GB / Red,Premium,2022-09-16,Y,2026-04-17 15:11:39.187230,ERP_SKU
MBC7279LL/A,IPH202201,128GB / Starlight,Premium,2022-09-16,Y,2026-04-17 15:11:39.187231,ERP_SKU
M103DA5LL/A,IPH202201,128GB / Yellow,Premium,2022-09-16,Y,2026-04-17 15:11:39.187233,ERP_SKU
M82D7C7LL/A,IPH202201,256GB / Black,Premium,2022-09-16,Y,2026-04-17 15:11:39.187234,ERP_SKU
M578C11LL/A,IPH202201,256GB / Blue,Premium,2022-09-16,Y,2026-04-17 15:11:39.187235,ERP_SKU
M03B6DFLL/A,IPH202201,256GB / Purple,Premium,2022-09-16,Y,2026-04-17 15:11:39.187236,ERP_SKU
M199139LL/A,IPH202201,256GB / Red,Premium,2022-09-16,Y,2026-04-17 15:11:39.187238,ERP_SKU
M30952CLL/A,IPH202201,256GB / Starlight,Premium,2022-09-16,Y,2026-04-17 15:11:39.187239,ERP_SKU
M90B986LL/A,IPH202201,256GB / Yellow,Premium,2022-09-16,Y,2026-04-17 15:11:39.187242,ERP_SKU
MB9CD72LL/A,IPH202201,512GB / Black,Premium,2022-09-16,Y,2026-04-17 15:11:39.187243,ERP_SKU
M9ACDCFLL/A,IPH202201,512GB / Blue,Premium,2022-09-16,Y,2026-04-17 15:11:39.187244,ERP_SKU
M5E811DLL/A,IPH202201,512GB / Purple,Premium,2022-09-16,Y,2026-04-17 15:11:39.187245,ERP_SKU
M93801FLL/A,IPH202201,512GB / Red,Premium,2022-09-16,Y,2026-04-17 15:11:39.187247,ERP_SKU
M2688B2LL/A,IPH202201,512GB / Starlight,Premium,2022-09-16,Y,2026-04-17 15:11:39.187248,ERP_SKU
M14BFE9LL/A,IPH202201,512GB / Yellow,Premium,2022-09-16,Y,2026-04-17 15:11:39.187249,ERP_SKU
M96E535LL/A,IPH202202,128GB / Black,Premium,2022-10-07,Y,2026-04-17 15:11:39.190114,ERP_SKU
M2DDF74LL/A,IPH202202,128GB / Blue,Premium,2022-10-07,Y,2026-04-17 15:11:39.190115,ERP_SKU
MDE0732LL/A,IPH202202,128GB / Purple,Premium,2022-10-07,Y,2026-04-17 15:11:39.190117,ERP_SKU
M88B502LL/A,IPH202202,128GB / Red,Premium,2022-10-07,Y,2026-04-17 15:11:39.190118,ERP_SKU
MD060A6LL/A,IPH202202,128GB / Starlight,Premium,2022-10-07,Y,2026-04-17 15:11:39.190119,ERP_SKU
M18F4C5LL/A,IPH202202,128GB / Yellow,Premium,2022-10-07,Y,2026-04-17 15:11:39.190120,ERP_SKU
M9C9420LL/A,IPH202202,256GB / Black,Premium,2022-10-07,Y,2026-04-17 15:11:39.190123,ERP_SKU
M18D1C6LL/A,IPH202202,256GB / Blue,Premium,2022-10-07,Y,2026-04-17 15:11:39.190125,ERP_SKU
M5A19D3LL/A,IPH202202,256GB / Purple,Premium,2022-10-07,Y,2026-04-17 15:11:39.190126,ERP_SKU
M680C26LL/A,IPH202202,256GB / Red,Premium,2022-10-07,Y,2026-04-17 15:11:39.190127,ERP_SKU
M3A539FLL/A,IPH202202,256GB / Starlight,Premium,2022-10-07,Y,2026-04-17 15:11:39.190128,ERP_SKU
MDA65CBLL/A,IPH202202,256GB / Yellow,Premium,2022-10-07,Y,2026-04-17 15:11:39.190129,ERP_SKU
MC4551ELL/A,IPH202202,512GB / Black,Premium,2022-10-07,Y,2026-04-17 15:11:39.190131,ERP_SKU
MA1BBFBLL/A,IPH202202,512GB / Blue,Premium,2022-10-07,Y,2026-04-17 15:11:39.190132,ERP_SKU
MB82FE4LL/A,IPH202202,512GB / Purple,Premium,2022-10-07,Y,2026-04-17 15:11:39.190133,ERP_SKU
MF930F7LL/A,IPH202202,512GB / Red,Premium,2022-10-07,Y,2026-04-17 15:11:39.190134,ERP_SKU
M3EDAC8LL/A,IPH202202,512GB / Starlight,Premium,2022-10-07,Y,2026-04-17 15:11:39.190135,ERP_SKU
M160CE9LL/A,IPH202202,512GB / Yellow,Premium,2022-10-07,Y,2026-04-17 15:11:39.190137,ERP_SKU
MC78E55LL/A,IPH202203,256GB / Space Black,Ultra,2022-09-16,Y,2026-04-17 15:11:39.193078,ERP_SKU
M894471LL/A,IPH202203,256GB / Silver,Ultra,2022-09-16,Y,2026-04-17 15:11:39.193079,ERP_SKU
M7B160DLL/A,IPH202203,256GB / Gold,Ultra,2022-09-16,Y,2026-04-17 15:11:39.193081,ERP_SKU
MFC2424LL/A,IPH202203,256GB / Deep Purple,Ultra,2022-09-16,Y,2026-04-17 15:11:39.193082,ERP_SKU
MA5507BLL/A,IPH202203,512GB / Space Black,Ultra,2022-09-16,Y,2026-04-17 15:11:39.193083,ERP_SKU
MFE42B2LL/A,IPH202203,512GB / Silver,Ultra,2022-09-16,Y,2026-04-17 15:11:39.193085,ERP_SKU
M809BA0LL/A,IPH202203,512GB / Gold,Ultra,2022-09-16,Y,2026-04-17 15:11:39.193086,ERP_SKU
M3A7EC1LL/A,IPH202203,512GB / Deep Purple,Ultra,2022-09-16,Y,2026-04-17 15:11:39.193087,ERP_SKU
M77EE59LL/A,IPH202203,1TB / Space Black,Ultra,2022-09-16,Y,2026-04-17 15:11:39.193088,ERP_SKU
M49635DLL/A,IPH202203,1TB / Silver,Ultra,2022-09-16,Y,2026-04-17 15:11:39.193090,ERP_SKU
M492E4FLL/A,IPH202203,1TB / Gold,Ultra,2022-09-16,Y,2026-04-17 15:11:39.193091,ERP_SKU
MCF3B24LL/A,IPH202203,1TB / Deep Purple,Ultra,2022-09-16,Y,2026-04-17 15:11:39.193092,ERP_SKU
MCE54B0LL/A,IPH202204,256GB / Space Black,Ultra,2022-09-16,Y,2026-04-17 15:11:39.195139,ERP_SKU
M944C25LL/A,IPH202204,256GB / Silver,Ultra,2022-09-16,Y,2026-04-17 15:11:39.195141,ERP_SKU
M41C250LL/A,IPH202204,256GB / Gold,Ultra,2022-09-16,Y,2026-04-17 15:11:39.195142,ERP_SKU
MD48A0FLL/A,IPH202204,256GB / Deep Purple,Ultra,2022-09-16,Y,2026-04-17 15:11:39.195143,ERP_SKU
ME338BCLL/A,IPH202204,512GB / Space Black,Ultra,2022-09-16,Y,2026-04-17 15:11:39.195144,ERP_SKU
M583FCELL/A,IPH202204,512GB / Silver,Ultra,2022-09-16,Y,2026-04-17 15:11:39.195146,ERP_SKU
M3DC206LL/A,IPH202204,512GB / Gold,Ultra,2022-09-16,Y,2026-04-17 15:11:39.195147,ERP_SKU
M967027LL/A,IPH202204,512GB / Deep Purple,Ultra,2022-09-16,Y,2026-04-17 15:11:39.195148,ERP_SKU
MAE2819LL/A,IPH202204,1TB / Space Black,Ultra,2022-09-16,Y,2026-04-17 15:11:39.195149,ERP_SKU
MF13B86LL/A,IPH202204,1TB / Silver,Ultra,2022-09-16,Y,2026-04-17 15:11:39.195151,ERP_SKU
M9C3CB5LL/A,IPH202204,1TB / Gold,Ultra,2022-09-16,Y,2026-04-17 15:11:39.195152,ERP_SKU
M2688B4LL/A,IPH202204,1TB / Deep Purple,Ultra,2022-09-16,Y,2026-04-17 15:11:39.195153,ERP_SKU
M05C121LL/A,IPH202301,128GB / Black,Premium,2023-09-22,Y,2026-04-17 15:11:39.197043,ERP_SKU
MDEDDB7LL/A,IPH202301,128GB / Blue,Premium,2023-09-22,Y,2026-04-17 15:11:39.197046,ERP_SKU
MCE0BEDLL/A,IPH202301,128GB / Green,Premium,2023-09-22,Y,2026-04-17 15:11:39.197047,ERP_SKU
MC0215CLL/A,IPH202301,128GB / Pink,Premium,2023-09-22,Y,2026-04-17 15:11:39.197049,ERP_SKU
MC788C0LL/A,IPH202301,128GB / Yellow,Premium,2023-09-22,Y,2026-04-17 15:11:39.197050,ERP_SKU
M878EC9LL/A,IPH202301,256GB / Black,Premium,2023-09-22,Y,2026-04-17 15:11:39.197051,ERP_SKU
MEF1F14LL/A,IPH202301,256GB / Blue,Premium,2023-09-22,Y,2026-04-17 15:11:39.197052,ERP_SKU
M572E74LL/A,IPH202301,256GB / Green,Premium,2023-09-22,Y,2026-04-17 15:11:39.197054,ERP_SKU
