model_code,model_name,family_code,launch_date,discontinue_date,lifecycle_status,is_active,created_at,source_system
AIR202403,AirPods Max (2nd Generation),AIR2024,2024-09-20,,ACTIVE,Y,2026-04-17 15:11:39.262333,PLM_CORE
TV201901,Apple TV HD,TV2019,2019-03-25,,ACTIVE,Y,2026-04-17 15:11:39.263117,PLM_CORE
TV201902,Apple TV 4K (2nd Generation),TV2019,2019-03-25,,ACTIVE,Y,2026-04-17 15:11:39.263273,PLM_CORE
TV202201,Apple TV 4K (3rd Generation),TV2022,2022-11-04,,ACTIVE,Y,2026-04-17 15:11:39.263588,PLM_CORE
HMP201901,HomePod (1st Generation),HMP2019,2019-02-09,,ACTIVE,Y,2026-04-17 15:11:39.263901,PLM_CORE
HMP202001,HomePod mini (1st Generation),HMP2020,2020-11-16,,ACTIVE,Y,2026-04-17 15:11:39.264212,PLM_CORE
HMP202301,HomePod (2nd Generation),HMP2023,2023-02-03,,ACTIVE,Y,2026-04-17 15:11:39.264838,PLM_CORE
DSP201901,Pro Display XDR,DSP2019,2019-12-10,,ACTIVE,Y,2026-04-17 15:11:39.265155,PLM_CORE
DSP202201,Studio Display,DSP2022,2022-03-18,,ACTIVE,Y,2026-04-17 15:11:39.265469,PLM_CORE
ACC201901,Apple Pencil (2nd Generation),ACC2019,2019-11-01,,ACTIVE,Y,2026-04-17 15:11:39.265718,PLM_CORE
ACC201902,Magic Keyboard for iPad,ACC2019,2019-11-01,,ACTIVE,Y,2026-04-17 15:11:39.265954,PLM_CORE
ACC202001,MagSafe Charger,ACC2020,2020-10-23,,ACTIVE,Y,2026-04-17 15:11:39.266121,PLM_CORE
ACC202002,MagSafe Duo Charger,ACC2020,2020-11-17,,ACTIVE,Y,2026-04-17 15:11:39.266282,PLM_CORE
ACC202101,AirTag (1st Generation),ACC2021,2021-04-30,,ACTIVE,Y,2026-04-17 15:11:39.266439,PLM_CORE
ACC202102,MagSafe Battery Pack,ACC2021,2021-07-14,,ACTIVE,Y,2026-04-17 15:11:39.266602,PLM_CORE
ACC202201,Apple Siri Remote (2nd Generation),ACC2022,2022-04-08,,ACTIVE,Y,2026-04-17 15:11:39.266760,PLM_CORE
ACC202202,MagSafe 3 Cable,ACC2022,2022-10-24,,ACTIVE,Y,2026-04-17 15:11:39.266928,PLM_CORE
ACC202301,Apple Pencil USB-C,ACC2023,2023-10-11,,ACTIVE,Y,2026-04-17 15:11:39.267096,PLM_CORE
ACC202302,Apple Pencil Pro,ACC2023,2023-05-08,,ACTIVE,Y,2026-04-17 15:11:39.267267,PLM_CORE
ACC202401,MagSafe Charger 2m,ACC2024,2024-09-20,,ACTIVE,Y,2026-04-17 15:11:39.267432,PLM_CORE
ACC202402,AirTag (2nd Generation),ACC2024,2024-09-20,,ACTIVE,Y,2026-04-17 15:11:39.267599,PLM_CORE
VPR202401,Apple Vision Pro (1st Generation),VPR2024,2024-02-02,,ACTIVE,Y,2026-04-17 15:11:39.267763,PLM_CORE
